date,adjclose
2019-11-27,286.1592
2019-11-29,285.098
2019-12-02,282.6762
2019-12-03,280.7803
2019-12-04,282.5128
2019-12-05,283.0209
2019-12-06,285.6059
2019-12-09,284.7079
2019-12-10,284.3904
2019-12-11,285.1978
2019-12-12,287.6559
2019-12-13,287.8282
2019-12-16,289.8056
2019-12-17,289.8692
2019-12-18,289.8872
2019-12-19,291.0755
2019-12-20,292.3517
2019-12-23,292.7982
2019-12-24,292.8074
2019-12-26,294.3661
2019-12-27,294.2931
2019-12-30,292.6707
2019-12-31,293.3816
2020-01-02,296.1252
2020-01-03,293.883
2020-01-06,295.0041
2020-01-07,294.1746
2020-01-08,295.7425
2020-01-09,297.7477
2020-01-10,296.8909
2020-01-13,298.9328
2020-01-14,298.477
2020-01-15,299.1515
2020-01-16,301.64
2020-01-17,302.5789
2020-01-21,301.9865
2020-01-22,302.0229
2020-01-23,302.3692
2020-01-24,299.6803
2020-01-27,294.8766
2020-01-28,297.9666
2020-01-29,297.7205
2020-01-30,298.6866
2020-01-31,293.2632
2020-02-03,295.4417
2020-02-04,299.9445
2020-02-05,303.4084
2020-02-06,304.4292
2020-02-07,302.8067
2020-02-10,305.0674
2020-02-11,305.596
2020-02-12,307.5649
2020-02-13,307.2368
2020-02-14,307.7289
2020-02-18,306.9359
2020-02-19,308.4035
2020-02-20,307.1364
2020-02-21,303.9735
2020-02-24,293.892
2020-02-25,284.9865
2020-02-26,283.9383
2020-02-27,271.1862
2020-02-28,270.0468
2020-03-02,281.7415
2020-03-03,273.6747
2020-03-04,285.1779
2020-03-05,275.6981
2020-03-06,271.1406
2020-03-09,249.9659
2020-03-10,262.9004
2020-03-11,250.0844
2020-03-12,226.1571
2020-03-13,245.4905
2020-03-16,218.6279
2020-03-17,230.4321
2020-03-18,218.7646
2020-03-19,219.2295
2020-03-20,209.782
2020-03-23,204.4183
2020-03-24,222.9392
2020-03-25,226.2766
2020-03-26,239.4889
2020-03-27,232.3556
2020-03-30,239.9014
2020-03-31,236.3257
2020-04-01,225.6899
2020-04-02,230.8977
2020-04-03,227.5603
2020-04-06,242.8447
2020-04-07,243.0922
2020-04-08,251.2525
2020-04-09,255.0759
2020-04-13,252.7469
2020-04-14,260.2012
2020-04-15,254.6723
2020-04-16,255.901
2020-04-17,262.8143
2020-04-20,258.184
2020-04-21,250.3448
2020-04-22,255.901
2020-04-23,255.8827
2020-04-24,259.4494
2020-04-27,263.1902
2020-04-28,261.9799
2020-04-29,268.8382
2020-04-30,266.3351
2020-05-01,259.2844
2020-05-04,259.9995
2020-05-05,262.4016
2020-05-06,260.623
2020-05-07,263.7678
2020-05-08,268.1322
2020-05-11,268.1872
2020-05-12,262.8419
2020-05-13,258.1932
2020-05-14,261.2831
2020-05-15,262.4842
2020-05-18,270.4794
2020-05-19,267.7013
2020-05-20,272.2491
2020-05-21,270.3695
2020-05-22,270.8828
2020-05-26,274.2203
2020-05-27,278.3004
2020-05-28,277.787
2020-05-29,279.0247
2020-06-01,280.1525
2020-06-02,282.4722
2020-06-03,286.2314
2020-06-04,285.4796
2020-06-05,292.7962
2020-06-08,296.3354
2020-06-09,294.1257
2020-06-10,292.4845
2020-06-11,275.623
2020-06-12,278.9239
2020-06-15,281.5278
2020-06-16,286.9466
2020-06-17,285.7545
2020-06-18,285.8647
2020-06-19,284.2309
2020-06-22,286.0544
2020-06-23,287.3712
2020-06-24,280.0408
2020-06-25,283.043
2020-06-26,276.3203
2020-06-29,280.3815
2020-06-30,283.9731
2020-07-01,285.9622
2020-07-02,287.537
2020-07-06,291.9757
2020-07-07,288.9644
2020-07-08,291.1746
2020-07-09,289.5169
2020-07-10,292.4731
2020-07-13,289.9406
2020-07-14,293.6979
2020-07-15,296.3963
2020-07-16,295.42
2020-07-17,296.2764
2020-07-20,298.6709
2020-07-21,299.3063
2020-07-22,301.01
2020-07-23,297.4183
2020-07-24,295.503
2020-07-27,297.6579
2020-07-28,295.77
2020-07-29,299.4076
2020-07-30,298.3394
2020-07-31,300.6968
2020-08-03,302.7874
2020-08-04,303.9568
2020-08-05,305.8448
2020-08-06,307.8892
2020-08-07,308.1103
2020-08-10,309.0312
2020-08-11,306.4803
2020-08-12,310.7533
2020-08-13,310.1916
2020-08-14,310.2007
2020-08-17,311.1861
2020-08-18,311.8583
2020-08-19,310.5598
2020-08-20,311.5268
2020-08-21,312.6319
2020-08-24,315.7999
2020-08-25,316.905
2020-08-26,320.0822
2020-08-27,320.7821
2020-08-28,322.8541
2020-08-31,321.6845
2020-09-01,324.7143
2020-09-02,329.4109
2020-09-03,318.0745
2020-09-04,315.4775
2020-09-08,306.8578
2020-09-09,312.9174
2020-09-10,307.4841
2020-09-11,307.6406
2020-09-14,311.6926
2020-09-15,313.2674
2020-09-16,312.0242
2020-09-17,309.2798
2020-09-18,305.7192
2020-09-21,302.3166
2020-09-22,305.3955
2020-09-23,298.3131
2020-09-24,299.1082
2020-09-25,303.944
2020-09-28,308.9923
2020-09-29,307.3096
2020-09-30,309.6396
2020-10-01,311.6273
2020-10-02,308.6687
2020-10-05,314.1423
2020-10-06,309.6764
2020-10-07,315.0668
2020-10-08,317.8591
2020-10-09,320.6977
2020-10-12,325.857
2020-10-13,323.7304
2020-10-14,321.6962
2020-10-15,321.2987
2020-10-16,321.1045
2020-10-19,316.2226
2020-10-20,317.4893
2020-10-21,316.8884
2020-10-22,318.6266
2020-10-23,319.7084
2020-10-26,313.8002
2020-10-27,312.7184
2020-10-28,302.03
2020-10-29,305.0997
2020-10-30,301.9191
2020-11-02,305.3032
2020-11-03,310.6935
2020-11-04,317.6373
2020-11-05,323.8321
2020-11-06,323.7581
2020-11-09,327.8264
2020-11-10,327.3456
2020-11-11,329.7773
2020-11-12,326.5782
2020-11-13,331.0995
2020-11-16,335.2324
2020-11-17,333.4295
2020-11-18,329.4167
2020-11-19,330.8036
2020-11-20,328.5383
2020-11-23,330.5077
2020-11-24,335.8335
2020-11-25,335.3156
2020-11-27,336.2496
2020-11-30,334.7609
2020-12-01,338.4223
2020-12-02,339.1343
2020-12-03,339.0417
2020-12-04,341.9635
2020-12-07,341.2608
2020-12-08,342.2593
2020-12-09,339.1896
2020-12-10,339.0788
2020-12-11,338.6811
2020-12-14,337.1648
2020-12-15,341.7231
2020-12-16,342.2593
2020-12-17,344.1733
2020-12-18,342.799
2020-12-21,341.5734
2020-12-22,340.9977
2020-12-23,341.3041
2020-12-24,342.6319
2020-12-28,345.5754
2020-12-29,344.9161
2020-12-30,345.4082
2020-12-31,347.1632
2021-01-04,342.4369
2021-01-05,344.7954
2021-01-06,346.8568
2021-01-07,352.0102
2021-01-08,354.0159
2021-01-11,351.6295
2021-01-12,351.7038
2021-01-13,352.6509
2021-01-14,351.416
2021-01-15,348.8531
2021-01-19,351.5923
2021-01-20,356.4579
2021-01-21,356.7829
2021-01-22,355.5201
2021-01-25,356.9222
2021-01-26,356.365
2021-01-27,347.6554
2021-01-28,350.6453
2021-01-29,343.6254
2021-02-01,349.3453
2021-02-02,354.2851
2021-02-03,354.5637
2021-02-04,358.5936
2021-02-05,360.0049
2021-02-08,362.6049
2021-02-09,362.3634
2021-02-10,362.2055
2021-02-11,362.7906
2021-02-12,364.5826
2021-02-16,364.2669
2021-02-17,364.3506
2021-02-18,362.7998
2021-02-19,362.1591
2021-02-22,359.3735
2021-02-23,359.81
2021-02-24,363.7748
2021-02-25,355.0093
2021-02-26,353.1801
2021-03-01,361.7413
